# field,g_lim,i_lim
1.000000000000000000e+00,2.558713722229003906e+01,2.461951065063476562e+01
2.000000000000000000e+00,2.612061882019042969e+01,2.474157524108886719e+01
3.000000000000000000e+00,2.613518333435058594e+01,2.472757148742675781e+01
4.000000000000000000e+00,2.603169059753417969e+01,2.498676109313964844e+01
5.000000000000000000e+00,2.591255569458007812e+01,2.478326606750488281e+01
6.000000000000000000e+00,2.641525840759277344e+01,2.480267143249511719e+01
7.000000000000000000e+00,2.612270736694335938e+01,2.458858299255371094e+01
8.000000000000000000e+00,2.610161399841308594e+01,2.502014732360839844e+01
9.000000000000000000e+00,2.604387855529785156e+01,2.503732681274414062e+01
1.000000000000000000e+01,2.624229431152343750e+01,2.486711883544921875e+01
1.100000000000000000e+01,2.621782112121582031e+01,2.484256362915039062e+01
1.200000000000000000e+01,2.617098999023437500e+01,2.492016792297363281e+01
1.300000000000000000e+01,2.613839721679687500e+01,2.455134010314941406e+01
1.400000000000000000e+01,2.583261680603027344e+01,2.460835456848144531e+01
1.500000000000000000e+01,2.632453155517578125e+01,2.488264656066894531e+01
1.600000000000000000e+01,2.623100090026855469e+01,2.497854232788085938e+01
1.700000000000000000e+01,2.594130325317382812e+01,2.498808479309082031e+01
1.800000000000000000e+01,2.607003402709960938e+01,2.502586555480957031e+01
1.900000000000000000e+01,2.625997734069824219e+01,2.479478454589843750e+01
2.000000000000000000e+01,2.603284072875976562e+01,2.487103652954101562e+01
2.100000000000000000e+01,2.621789550781250000e+01,2.500141906738281250e+01
2.200000000000000000e+01,2.617454910278320312e+01,2.483645248413085938e+01
2.300000000000000000e+01,2.611057281494140625e+01,2.490364074707031250e+01
2.400000000000000000e+01,2.607847976684570312e+01,2.490438079833984375e+01
2.500000000000000000e+01,2.595085334777832031e+01,2.489185142517089844e+01
2.600000000000000000e+01,2.593366622924804688e+01,2.530288314819335938e+01
2.700000000000000000e+01,2.600358581542968750e+01,2.494445991516113281e+01
2.800000000000000000e+01,2.617082595825195312e+01,2.497623252868652344e+01
2.900000000000000000e+01,2.591758537292480469e+01,2.491394233703613281e+01
3.000000000000000000e+01,2.626129150390625000e+01,2.498686218261718750e+01
3.100000000000000000e+01,2.600551605224609375e+01,2.483930969238281250e+01
3.200000000000000000e+01,2.621011352539062500e+01,2.489555931091308594e+01
3.300000000000000000e+01,2.597170829772949219e+01,2.476753997802734375e+01
3.400000000000000000e+01,2.605073928833007812e+01,2.471197128295898438e+01
3.500000000000000000e+01,2.606716156005859375e+01,2.488465118408203125e+01
3.600000000000000000e+01,2.545187377929687500e+01,2.474397659301757812e+01
3.700000000000000000e+01,2.601584815979003906e+01,2.490113258361816406e+01
3.800000000000000000e+01,2.606664276123046875e+01,2.488548851013183594e+01
3.900000000000000000e+01,2.617044639587402344e+01,2.484606933593750000e+01
4.000000000000000000e+01,2.601957321166992188e+01,2.498102569580078125e+01
4.100000000000000000e+01,2.615217781066894531e+01,2.476082229614257812e+01
4.200000000000000000e+01,2.583949089050292969e+01,2.480704498291015625e+01
4.300000000000000000e+01,2.575085449218750000e+01,2.459064865112304688e+01
4.400000000000000000e+01,2.595274162292480469e+01,2.484732437133789062e+01
4.500000000000000000e+01,2.612714195251464844e+01,2.505251502990722656e+01
4.600000000000000000e+01,2.616496467590332031e+01,2.497234153747558594e+01
4.700000000000000000e+01,2.594260215759277344e+01,2.489304351806640625e+01
4.800000000000000000e+01,2.617105484008789062e+01,2.504059028625488281e+01
4.900000000000000000e+01,2.598191261291503906e+01,2.488802719116210938e+01
5.000000000000000000e+01,2.601231384277343750e+01,2.491041755676269531e+01
5.100000000000000000e+01,2.617482185363769531e+01,2.487969970703125000e+01
5.200000000000000000e+01,2.623437118530273438e+01,2.476243209838867188e+01
5.300000000000000000e+01,2.601777267456054688e+01,2.478468322753906250e+01
5.400000000000000000e+01,2.618981742858886719e+01,2.507581329345703125e+01
5.500000000000000000e+01,2.603383255004882812e+01,2.466300010681152344e+01
5.600000000000000000e+01,2.606614494323730469e+01,2.493146514892578125e+01
5.700000000000000000e+01,2.603449630737304688e+01,2.477811622619628906e+01
5.800000000000000000e+01,2.630964088439941406e+01,2.503475379943847656e+01
5.900000000000000000e+01,2.604653739929199219e+01,2.461030578613281250e+01
6.000000000000000000e+01,2.596915245056152344e+01,2.490823936462402344e+01
6.100000000000000000e+01,2.585603141784667969e+01,2.457873344421386719e+01
6.200000000000000000e+01,2.591742706298828125e+01,2.468387794494628906e+01
6.300000000000000000e+01,2.583506011962890625e+01,2.464757537841796875e+01
6.400000000000000000e+01,2.612750053405761719e+01,2.494801330566406250e+01
6.500000000000000000e+01,2.603606796264648438e+01,2.502797126770019531e+01
6.600000000000000000e+01,2.608695793151855469e+01,2.506988525390625000e+01
6.700000000000000000e+01,2.594108390808105469e+01,2.501778030395507812e+01
6.800000000000000000e+01,2.602477645874023438e+01,2.490469551086425781e+01
6.900000000000000000e+01,2.624393272399902344e+01,2.495854187011718750e+01
7.000000000000000000e+01,2.613537406921386719e+01,2.511801338195800781e+01
7.100000000000000000e+01,2.546810340881347656e+01,2.481929206848144531e+01
7.200000000000000000e+01,2.593938064575195312e+01,2.478464126586914062e+01
7.300000000000000000e+01,2.607054328918457031e+01,2.489521789550781250e+01
7.400000000000000000e+01,2.589652824401855469e+01,2.480839538574218750e+01
7.500000000000000000e+01,2.618035316467285156e+01,2.489101409912109375e+01
7.600000000000000000e+01,2.562897300720214844e+01,2.481253623962402344e+01
7.700000000000000000e+01,2.599729347229003906e+01,2.464569854736328125e+01
7.800000000000000000e+01,2.616378784179687500e+01,2.484213256835937500e+01
7.900000000000000000e+01,2.612265777587890625e+01,2.478267288208007812e+01
8.000000000000000000e+01,2.612402915954589844e+01,2.494827461242675781e+01
8.100000000000000000e+01,2.617008399963378906e+01,2.479866981506347656e+01
8.200000000000000000e+01,2.574858665466308594e+01,2.488966560363769531e+01
8.300000000000000000e+01,2.609489631652832031e+01,2.498841285705566406e+01
8.400000000000000000e+01,2.626802253723144531e+01,2.499336242675781250e+01
8.500000000000000000e+01,2.609202384948730469e+01,2.490003776550292969e+01
8.600000000000000000e+01,2.615106773376464844e+01,2.492615127563476562e+01
8.700000000000000000e+01,2.598539733886718750e+01,2.460150909423828125e+01
8.800000000000000000e+01,2.599155044555664062e+01,2.503746604919433594e+01
8.900000000000000000e+01,2.602646827697753906e+01,2.488758659362792969e+01
9.000000000000000000e+01,2.585160827636718750e+01,2.477732086181640625e+01
9.100000000000000000e+01,2.596712112426757812e+01,2.490813064575195312e+01
9.200000000000000000e+01,2.594171905517578125e+01,2.484761238098144531e+01
9.300000000000000000e+01,2.592645645141601562e+01,2.491573524475097656e+01
9.400000000000000000e+01,2.601361274719238281e+01,2.492293548583984375e+01
9.500000000000000000e+01,2.602338790893554688e+01,2.481557846069335938e+01
9.600000000000000000e+01,2.590204620361328125e+01,2.483731269836425781e+01
9.700000000000000000e+01,2.608270454406738281e+01,2.492037773132324219e+01
9.800000000000000000e+01,2.583359336853027344e+01,2.484256362915039062e+01
9.900000000000000000e+01,2.591231918334960938e+01,2.473630905151367188e+01
1.000000000000000000e+02,2.588768577575683594e+01,2.490876388549804688e+01
1.010000000000000000e+02,2.593376922607421875e+01,2.479026412963867188e+01
1.020000000000000000e+02,2.611506271362304688e+01,2.497621536254882812e+01
1.030000000000000000e+02,2.592269897460937500e+01,2.461219787597656250e+01
1.040000000000000000e+02,2.613323211669921875e+01,2.506659126281738281e+01
1.050000000000000000e+02,2.619313240051269531e+01,2.481065177917480469e+01
1.060000000000000000e+02,2.635620117187500000e+01,2.516005706787109375e+01
1.070000000000000000e+02,2.565697097778320312e+01,2.466979408264160156e+01
1.080000000000000000e+02,2.547476005554199219e+01,2.498476600646972656e+01
1.090000000000000000e+02,2.592867851257324219e+01,2.475259017944335938e+01
1.100000000000000000e+02,2.627725410461425781e+01,2.486432075500488281e+01
1.110000000000000000e+02,2.614342308044433594e+01,2.499809265136718750e+01
1.120000000000000000e+02,2.630191612243652344e+01,2.476309394836425781e+01
1.130000000000000000e+02,2.599180221557617188e+01,2.490422439575195312e+01
1.140000000000000000e+02,2.609815025329589844e+01,2.469181251525878906e+01
1.150000000000000000e+02,2.602657508850097656e+01,2.465260124206542969e+01
1.160000000000000000e+02,2.591395187377929688e+01,2.495240974426269531e+01
1.170000000000000000e+02,2.611930465698242188e+01,2.527393150329589844e+01
1.180000000000000000e+02,2.632665252685546875e+01,2.473530960083007812e+01
1.190000000000000000e+02,2.611722564697265625e+01,2.485544586181640625e+01
1.200000000000000000e+02,2.594867706298828125e+01,2.471833229064941406e+01
1.210000000000000000e+02,2.664911842346191406e+01,2.557684707641601562e+01
1.220000000000000000e+02,2.606598281860351562e+01,2.459122276306152344e+01
1.230000000000000000e+02,2.603753662109375000e+01,2.461906814575195312e+01
1.240000000000000000e+02,2.607612800598144531e+01,2.476605415344238281e+01
1.250000000000000000e+02,2.604600334167480469e+01,2.462324714660644531e+01
1.260000000000000000e+02,2.618505859375000000e+01,2.505071640014648438e+01
1.270000000000000000e+02,2.610676574707031250e+01,2.467812919616699219e+01
1.280000000000000000e+02,2.583675003051757812e+01,2.478553199768066406e+01
1.290000000000000000e+02,2.594114685058593750e+01,2.482184219360351562e+01
1.300000000000000000e+02,2.578969955444335938e+01,2.513710784912109375e+01
1.310000000000000000e+02,2.594723510742187500e+01,2.485585784912109375e+01
1.320000000000000000e+02,2.569236373901367188e+01,2.484493827819824219e+01
1.330000000000000000e+02,2.611343574523925781e+01,2.516312408447265625e+01
1.340000000000000000e+02,2.610606575012207031e+01,2.519361877441406250e+01
1.350000000000000000e+02,2.583258628845214844e+01,2.469798278808593750e+01
1.360000000000000000e+02,2.606312561035156250e+01,2.479879951477050781e+01
1.370000000000000000e+02,2.618233871459960938e+01,2.485099411010742188e+01
1.380000000000000000e+02,2.612371635437011719e+01,2.514612007141113281e+01
1.390000000000000000e+02,2.636145973205566406e+01,2.495107269287109375e+01
1.400000000000000000e+02,2.632620048522949219e+01,2.500770759582519531e+01
1.410000000000000000e+02,2.590055465698242188e+01,2.471034622192382812e+01
1.420000000000000000e+02,2.609584999084472656e+01,2.497436141967773438e+01
1.430000000000000000e+02,2.587212753295898438e+01,2.465283775329589844e+01
1.440000000000000000e+02,2.610206413269042969e+01,2.503987884521484375e+01
1.450000000000000000e+02,2.586404037475585938e+01,2.469058609008789062e+01
1.460000000000000000e+02,2.592453575134277344e+01,2.491102981567382812e+01
1.470000000000000000e+02,2.623784255981445312e+01,2.498976707458496094e+01
1.480000000000000000e+02,2.642172622680664062e+01,2.511366462707519531e+01
1.490000000000000000e+02,2.586841773986816406e+01,2.487357711791992188e+01
1.500000000000000000e+02,2.576990318298339844e+01,2.463304328918457031e+01
1.510000000000000000e+02,2.604593467712402344e+01,2.432888412475585938e+01
1.520000000000000000e+02,2.610181808471679688e+01,2.493673324584960938e+01
1.530000000000000000e+02,2.578329277038574219e+01,2.473973846435546875e+01
1.540000000000000000e+02,2.619660949707031250e+01,2.447995185852050781e+01
1.550000000000000000e+02,2.612576484680175781e+01,2.491740989685058594e+01
1.560000000000000000e+02,2.611654853820800781e+01,2.445203208923339844e+01
1.570000000000000000e+02,2.604161643981933594e+01,2.467516708374023438e+01
1.580000000000000000e+02,2.597007179260253906e+01,2.457982826232910156e+01
1.590000000000000000e+02,2.588157463073730469e+01,2.469556045532226562e+01
1.600000000000000000e+02,2.621688079833984375e+01,2.487157821655273438e+01
1.610000000000000000e+02,2.591700363159179688e+01,2.468434143066406250e+01
1.620000000000000000e+02,2.608697891235351562e+01,2.489392471313476562e+01
1.630000000000000000e+02,2.580582427978515625e+01,2.468142127990722656e+01
1.640000000000000000e+02,2.606667137145996094e+01,2.491113281250000000e+01
1.650000000000000000e+02,2.600705909729003906e+01,2.475291633605957031e+01
1.660000000000000000e+02,2.598450279235839844e+01,2.464468574523925781e+01
1.670000000000000000e+02,2.594219589233398438e+01,2.456800651550292969e+01
1.680000000000000000e+02,2.600721931457519531e+01,2.493567848205566406e+01
1.690000000000000000e+02,2.614845848083496094e+01,2.518276977539062500e+01
1.700000000000000000e+02,2.610889053344726562e+01,2.501888847351074219e+01
1.710000000000000000e+02,2.603248405456542969e+01,2.499189376831054688e+01
1.720000000000000000e+02,2.580634498596191406e+01,2.450942230224609375e+01
1.730000000000000000e+02,2.610210609436035156e+01,2.494336891174316406e+01
1.740000000000000000e+02,2.574670219421386719e+01,2.474192619323730469e+01
1.750000000000000000e+02,2.593798828125000000e+01,2.488682174682617188e+01
1.760000000000000000e+02,2.591913032531738281e+01,2.478622245788574219e+01
1.770000000000000000e+02,2.602027511596679688e+01,2.495309638977050781e+01
1.780000000000000000e+02,2.592337417602539062e+01,2.464702796936035156e+01
1.790000000000000000e+02,2.571041870117187500e+01,2.451648330688476562e+01
1.800000000000000000e+02,2.588726425170898438e+01,2.480322456359863281e+01
1.810000000000000000e+02,2.595453643798828125e+01,2.478082275390625000e+01
1.820000000000000000e+02,2.591806411743164062e+01,2.475248146057128906e+01
1.830000000000000000e+02,2.613719940185546875e+01,2.505369758605957031e+01
1.840000000000000000e+02,2.608544921875000000e+01,2.458829689025878906e+01
1.850000000000000000e+02,2.603702735900878906e+01,2.503707122802734375e+01
1.860000000000000000e+02,2.608033943176269531e+01,2.443918991088867188e+01
1.870000000000000000e+02,2.590001678466796875e+01,2.507945251464843750e+01
1.880000000000000000e+02,2.608741188049316406e+01,2.457336616516113281e+01
1.890000000000000000e+02,2.548478889465332031e+01,2.481993865966796875e+01
1.900000000000000000e+02,2.587603569030761719e+01,2.477260398864746094e+01
1.910000000000000000e+02,2.609632873535156250e+01,2.502016067504882812e+01
1.920000000000000000e+02,2.531285095214843750e+01,2.461363601684570312e+01
1.930000000000000000e+02,2.615595054626464844e+01,2.503693771362304688e+01
1.940000000000000000e+02,2.619488906860351562e+01,2.497169494628906250e+01
1.950000000000000000e+02,2.533073043823242188e+01,2.479172134399414062e+01
1.960000000000000000e+02,2.617234420776367188e+01,2.487807655334472656e+01
1.970000000000000000e+02,2.547611045837402344e+01,2.479675483703613281e+01
1.980000000000000000e+02,2.616777992248535156e+01,2.506149291992187500e+01
1.990000000000000000e+02,2.551794815063476562e+01,2.465500068664550781e+01
2.000000000000000000e+02,2.550357627868652344e+01,2.455500793457031250e+01
2.010000000000000000e+02,2.548269653320312500e+01,2.443887901306152344e+01
2.020000000000000000e+02,2.599220275878906250e+01,2.496529388427734375e+01
